,title,price,link
0,"
Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light
                    Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62
                    cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59
                    KG

","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDg0MjI0ODM5MTMzMTkzOjE3MjA3Njk4NTg6c3BfYXRmOjMwMDE1OTk3NTUzMDgzMjo6MDo6&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CB7S1RTX%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769858%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMDg0MjI0ODM5MTMzMTkzOjE3MjA3Njk4NTg6c3BfYXRmOjMwMDA4NTQwMzIxODczMjo6MDo6&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769858%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","31,990",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_6?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769858&sprefix=laptop%2Caps%2C268&sr=8-6
3,"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg  ","34,990",https://amazon.in//Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ9HZPP/ref=sr_1_15?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-15
4,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","36,990",https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_16?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-16
5,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU  ","52,990",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-fy5009TU/dp/B0D4M66F6R/ref=sr_1_17?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-17
6,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU  ","36,690",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_18?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-18
7,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), eq2212AU  ","31,950",https://amazon.in//HP-Anti-Glare-Graphics-15s-eq2212AU/dp/B0BQN2HV46/ref=sr_1_19?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-19
8,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","28,990",https://amazon.in//Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_20?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769897&sprefix=laptop%2Caps%2C268&sr=8-20
9,"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), â€ŽFX706HF-HX018W  ","53,081",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTk4Nzc0MzIwNzcwMTkzOjE3MjA3Njk4OTg6c3BfYnRmOjMwMDExOTI5NjkzNTQzMjo6MDo6&url=%2FASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W%2Fdp%2FB0C27VNNWH%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769897%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
